timestamp,numFrame,x,y,z,doppler,SNR,Range,Azimuth,Elevation
1751437031169.5251,1,0.2990424335002899,1.0263592004776,-0.854407012462616,0.0,13.8,1.3685214387740101,73.7558654269183,-38.63292213445992
1751437031169.5251,2,0.0,0.0,0.0,0.0,17.1,0.0,0.0,0.0
1751437031222.8455,1,0.0,0.0,0.0,0.0,13.8,0.0,0.0,0.0
1751437031285.418,1,0.0,0.0,0.0,0.0,13.5,0.0,0.0,0.0
1751437031337.8506,1,0.0,0.0,0.0,0.0,12.700000000000001,0.0,0.0,0.0
1751437031401.2542,1,0.0,0.0,0.0,0.0,12.600000000000001,0.0,0.0,0.0
1751437031464.1514,1,0.0,0.0,0.0,0.0,12.4,0.0,0.0,0.0
1751437031527.7551,1,0.32955697178840637,0.9404686093330383,-0.8650870323181152,0.0,12.5,1.3196456252646493,70.68862912192881,-40.96098427062912
1751437031527.7551,2,0.0,0.0,0.0,0.0,16.2,0.0,0.0,0.0
1751437031589.886,1,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0
1751437031653.8809,1,0.0,0.0,0.0,0.0,13.3,0.0,0.0,0.0
1751437031717.1458,1,0.32955697178840637,0.9404686093330383,-0.8650870323181152,0.0,12.5,1.3196456252646493,70.68862912192881,-40.96098427062912
1751437031717.1458,2,0.0,0.0,0.0,0.0,12.600000000000001,0.0,0.0,0.0
1751437031779.6895,1,0.32955697178840637,0.9404686093330383,-0.8650870323181152,0.0,12.3,1.3196456252646493,70.68862912192881,-40.96098427062912
1751437031779.6895,2,0.0,0.0,0.0,0.0,16.400000000000002,0.0,0.0,0.0
1751437031842.788,1,0.0,0.0,0.0,0.0,12.9,0.0,0.0,0.0
1751437032282.6433,1,0.32955697178840637,0.9404686093330383,-0.8650870323181152,0.0,12.5,1.3196456252646493,70.68862912192881,-40.96098427062912
1751437032282.6433,2,0.0,0.0,0.0,0.0,12.700000000000001,0.0,0.0,0.0
1751437032345.9614,1,0.0,0.0,0.0,0.0,12.4,0.0,0.0,0.0
1751437032409.0886,1,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0
1751437032471.7236,1,0.32955697178840637,0.9404686093330383,-0.8650870323181152,0.0,13.0,1.3196456252646493,70.68862912192881,-40.96098427062912
1751437032471.7236,2,0.0,0.0,0.0,0.0,13.200000000000001,0.0,0.0,0.0
1751437032534.6697,1,0.32955697178840637,0.9404686093330383,-0.8650870323181152,0.0,12.600000000000001,1.3196456252646493,70.68862912192881,-40.96098427062912
1751437032534.6697,2,0.0,0.0,0.0,0.0,15.5,0.0,0.0,0.0
1751437032597.1665,1,0.0,0.0,0.0,0.0,13.200000000000001,0.0,0.0,0.0
1751437032660.5173,1,0.0,0.0,0.0,0.0,13.600000000000001,0.0,0.0,0.0
1751437032723.2817,1,0.0,0.0,0.0,0.0,13.4,0.0,0.0,0.0
1751437032786.0618,1,0.0061029065400362015,0.16160652041435242,-0.10985231399536133,0.0,13.5,0.19550305317003716,87.8373106191448,-34.18699580256912
1751437032786.0618,2,1.625249981880188,-7.945984363555908,0.0,0.0,18.400000000000002,8.110493512079062,-78.44031908813174,0.0
1751437032786.0618,3,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0
1751437032848.7117,1,0.004577179905027151,0.09701072424650192,-0.10985231399536133,0.0,17.0,0.1466272897002781,87.2986621184001,-48.52062454676704
1751437032848.7117,2,0.2464572936296463,0.4027918577194214,0.0,0.15104694664478302,19.8,0.4722102055529002,58.53867930152815,0.0
1751437032848.7117,3,0.0,0.0,0.0,0.0,14.5,0.0,0.0,0.0
1751437032911.3528,1,-0.05034898221492767,0.06929613649845123,-0.1190066784620285,0.0,14.5,0.14662729644324662,126.001294455133,-54.25520349653754
1751437032911.3528,2,0.2741445302963257,0.34786567091941833,0.0,-0.4394092559814453,23.400000000000002,0.4429060267095155,51.75920948742518,0.0
1751437032911.3528,3,-0.09154359996318817,0.0,0.11595522612333298,1.820722222328186,23.400000000000002,0.1477357274308876,180.0,51.70983668839155
1751437032911.3528,4,0.0,0.0,0.0,0.0,13.5,0.0,0.0,0.0
1751437032973.8901,1,-0.045771799981594086,0.023430386558175087,-0.13731540739536285,0.0,20.1,0.14662728871521508,152.8922895583202,-69.4706791024183
1751437032973.8901,2,0.21833011507987976,0.3661743998527527,0.0,0.0,19.5,0.4263235042292615,59.19464779634558,0.0
1751437032973.8901,3,0.0,0.0,0.0,0.0,14.8,0.0,0.0,0.0
1751437033037.043,1,-0.4027918577194214,0.2464572936296463,0.34786567091941833,0.0,18.0,0.5865091672195153,148.53867930152816,36.37816311818486
1751437033037.043,2,0.3070214092731476,-0.07323487848043442,0.0,0.11595522612333298,18.0,0.31563506329004953,-13.416256561869341,0.0
1751437033037.043,3,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0
1751437033099.5388,1,0.08696641772985458,0.061614323407411575,0.10069796442985535,0.0,24.200000000000003,0.14662729180487882,35.316964889683064,43.37428933321701
1751437033099.5388,2,0.07551707327365875,0.12358386069536209,0.0,-0.11442950367927551,24.200000000000003,0.14483024193927801,58.57259383190211,0.0
1751437033099.5388,3,0.08696641772985458,0.0,-0.34786567091941833,0.33819326758384705,24.200000000000003,0.3585717261817789,0.0,-75.96375653207353
1751437033099.5388,4,0.0,-0.42110055685043335,0.06652854382991791,0.4027918577194214,13.700000000000001,0.4263234993803114,-90.0,8.977801523569758
1751437033099.5388,5,0.0,0.3156350553035736,0.49433544278144836,0.0,13.700000000000001,0.5865091799165811,90.0,57.441614321687645
